Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Montenegro,MNE,"Population, total",SP.POP.TOTL,622227,622028,621306,619211,617213,616791,616369
Morocco,MAR,"Population, total",SP.POP.TOTL,35927511,36304408,36688772,37076584,37457971,37840044,38211459
Mozambique,MOZ,"Population, total",SP.POP.TOTL,29423878,30285595,31178239,32077072,32969518,33897354,34858402
Myanmar,MMR,"Population, total",SP.POP.TOTL,52666014,53040212,53423198,53798084,54179306,54577997,54964694
Namibia,NAM,"Population, total",SP.POP.TOTL,2405680,2446644,2489098,2530151,2567012,2604172,2645805
Nauru,NRU,"Population, total",SP.POP.TOTL,11924,12132,12315,12511,12668,12780,12884
Nepal,NPL,"Population, total",SP.POP.TOTL,28506712,28832496,29348627,30034989,30547580,30896590,31240315
Netherlands,NLD,"Population, total",SP.POP.TOTL,17231624,17344874,17441500,17533044,17700982,17748150,17793202
New Caledonia,NCL,"Population, total",SP.POP.TOTL,271170,271240,271080,270390,269220,271940,274605
New Zealand,NZL,"Population, total",SP.POP.TOTL,4900600,4979200,5090200,5111400,5124100,5163908,5202830
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6572233,6663924,6755895,6850540,6948392,7046310,7142529
Niger,NER,"Population, total",SP.POP.TOTL,22577058,23443393,24333639,25252722,26207977,27202843,28238972
Nigeria,NGA,"Population, total",SP.POP.TOTL,198387623,203304492,208327405,213401323,218541212,223804632,229152217
North America,NAC,"Population, total",SP.POP.TOTL,363967201,365995094,369582571,370321816,372280991,374265128,376276996
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2076217,2076694,2072531,2065092,2057679,2051957,2051616
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,50304,49858,49587,49481,49551,49796,50025
Norway,NOR,"Population, total",SP.POP.TOTL,5311916,5347896,5379475,5408320,5457127,5496014,5534431
OECD members,OED,"Population, total",SP.POP.TOTL,1354836308,1362014902,1369465369,1371917156,1376606817,1378909124,1381451463
Oman,OMN,"Population, total",SP.POP.TOTL,4601157,4602768,4543399,4520471,4576298,4644384,4713553
Other small states,OSS,"Population, total",SP.POP.TOTL,31494491,32005477,32381464,32708277,33169026,33595438,34031149
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2510226,2536070,2566819,2602173,2639019,2677728,2716610
Pakistan,PAK,"Population, total",SP.POP.TOTL,219731479,223293280,227196741,231402117,235824862,240485658,245209815
Palau,PLW,"Population, total",SP.POP.TOTL,17864,17916,17972,18024,18055,18058,18051
Panama,PAN,"Population, total",SP.POP.TOTL,4165255,4232532,4294396,4351267,4408581,4468087,4527961
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,9329227,9542486,9749640,9949437,10142619,10329931,10515788
Paraguay,PRY,"Population, total",SP.POP.TOTL,6443328,6530026,6618695,6703799,6780744,6861524,6947270
Peru,PER,"Population, total",SP.POP.TOTL,32203944,32824861,33304756,33715471,34049588,34352719,34683444
Philippines,PHL,"Population, total",SP.POP.TOTL,108568836,110380804,112190977,113880328,115559009,117337368,119106224
Poland,POL,"Population, total",SP.POP.TOTL,37974750,37965475,37899070,37747124,36821749,35885420,35151336
Portugal,PRT,"Population, total",SP.POP.TOTL,10283822,10286263,10297081,10361831,10409704,10382854,10355641
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1110123356,1113305347,1117418072,1116569892,1113495082,1116310119,1118831449
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,931467165,957503246,984213438,1011043183,1038012552,1065710613,1094043760
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3193354,3193694,3281557,3262693,3221789,3229412,3235429
Qatar,QAT,"Population, total",SP.POP.TOTL,2766732,2807235,2760385,2688235,2695122,2716391,2737061
Romania,ROU,"Population, total",SP.POP.TOTL,19473970,19371648,19265250,19122059,19047009,18714814,18482144
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144477859,144406261,144073139,144130482,144236933,143715712,143249792
Rwanda,RWA,"Population, total",SP.POP.TOTL,12531808,12835028,13146362,13461888,13776698,14094683,14414910
Samoa,WSM,"Population, total",SP.POP.TOTL,209701,211905,214929,218764,222382,225681,228966
San Marino,SMR,"Population, total",SP.POP.TOTL,34156,34178,34007,33745,33660,33642,33614
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,211344,214599,218641,223107,227380,231856,236381
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,35018133,35827362,35997107,35950396,36408820,36947025,37473929
Senegal,SEN,"Population, total",SP.POP.TOTL,15574909,16000781,16436120,16876720,17316449,17763163,18221567
Serbia,SRB,"Population, total",SP.POP.TOTL,6982604,6945235,6899126,6834326,6664449,6604989,6566006
Seychelles,SYC,"Population, total",SP.POP.TOTL,96762,97625,98462,99258,119878,120622,121327
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7861281,8046828,8233970,8420641,8605718,8791092,8977972
Singapore,SGP,"Population, total",SP.POP.TOTL,5638676,5703569,5685807,5453566,5637022,5673743,5709813
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,40895,41608,42310,42668,42848,..,..
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5446771,5454147,5458827,5447247,5431752,5322188,5237360
Slovenia,SVN,"Population, total",SP.POP.TOTL,2073894,2088385,2102419,2108079,2111986,2111064,2109952
Small states,SST,"Population, total",SP.POP.TOTL,41379367,41965649,42393051,42792327,43313523,43801385,44300670
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,659249,674993,691191,707851,724273,740424,756673
Somalia,SOM,"Population, total",SP.POP.TOTL,15411094,15981300,16537016,17065581,17597511,18143378,18706922
South Africa,ZAF,"Population, total",SP.POP.TOTL,57339635,58087055,58801927,59392255,59893885,60414495,61020221
South Asia,SAS,"Population, total",SP.POP.TOTL,1840534093,1861598514,1882531620,1901911604,1919348000,1938753833,1959850736
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1840534093,1861598514,1882531620,1901911604,1919348000,1938753833,1959850736
South Sudan,SSD,"Population, total",SP.POP.TOTL,10395329,10447666,10606227,10748272,10913164,11088796,11277092
Spain,ESP,"Population, total",SP.POP.TOTL,46797754,47134837,47365655,47415794,47778340,47732632,47678684
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21670000,21803000,21919000,22156000,22181000,22241304,22296324
